# 1996年ドイツ語正書法改革 前後の対応表（旧表記 → 新表記）
# 語頭大文字の語はそのまま、小文字の語は文頭で大文字化されても対応する。
# ß→ss は短母音の後だけが対象で、長母音・二重母音の後（Straße, groß, heißt）は変わらない。
# 一般的な ß→ss の一括変換は別オプション（スイス正書法向け）。
daß	dass
muß	muss
mußte	musste
mußten	mussten
müßte	müsste
müßten	müssten
gemußt	gemusst
läßt	lässt
laßt	lasst
gewußt	gewusst
wußte	wusste
wußten	wussten
bißchen	bisschen
Kuß	Kuss
Küsse	Küsse
Faß	Fass
Fluß	Fluss
Flüsse	Flüsse
Nuß	Nuss
Schluß	Schluss
Anschluß	Anschluss
Abschluß	Abschluss
Prozeß	Prozess
Streß	Stress
Paß	Pass
Reisepaß	Reisepass
Haß	Hass
Schuß	Schuss
Genuß	Genuss
Einfluß	Einfluss
Kongreß	Kongress
Kompromiß	Kompromiss
Mißverständnis	Missverständnis
mißverstehen	missverstehen
Erlaß	Erlass
naß	nass
Riß	Riss
Biß	Biss
Fußballspiel	Fußballspiel
Schiffahrt	Schifffahrt
Brennessel	Brennnessel
rauh	rau
Rauheit	Rauheit
Känguruh	Känguru
Zierrat	Zierrat
numerieren	nummerieren
plazieren	platzieren
Stengel	Stängel
Stukkateur	Stuckateur
Tip	Tipp
Stop	Stopp
Photo	Foto
Photographie	Fotografie
Delphin	Delfin
Alptraum	Albtraum
Quentchen	Quäntchen
selbständig	selbstständig
Rolladen	Rollladen
